epoch,train_loss,val_recall,val_ndcg,epoch_time_s
1,7.742559312519274,0.48889625455750746,0.2678444298313064,65.28905773162842
2,7.226351908633584,0.5333112363274777,0.2931891444626926,66.09368228912354
3,7.148691598992599,0.5333112363274777,0.29198347035495437,64.8534300327301
4,7.05049887205425,0.5727543917799138,0.3244595262184435,66.27820992469788
5,6.860107366662277,0.6249585681140205,0.36444494094275526,61.984413623809814
6,6.651933880856163,0.6595956247928406,0.38629846067098983,62.04167342185974
7,6.443612334602758,0.6892608551541266,0.41989037517675315,61.98667001724243
8,6.31169164557206,0.7141199867417964,0.44083503051592055,62.315003633499146
9,6.14982846410651,0.7212462711302619,0.4576788943115401,62.683916091918945
10,6.047444760171991,0.7358302949950282,0.46951876670915166,62.160067081451416
11,5.961225584933632,0.7306927411335764,0.4751570101356945,62.1177761554718
12,5.850877415506464,0.7424593967517401,0.485344148275526,62.21886134147644
13,5.810913738451506,0.7557176002651641,0.49227735390183935,62.06362771987915
14,5.762794765673186,0.7630096121975473,0.5134298037182634,62.00790858268738
15,5.682762989244963,0.7686443486907524,0.5077898299201595,62.1299204826355
16,5.615260008761758,0.7756049055352999,0.5177857409803638,62.01390624046326
17,5.5593949518705665,0.7794166390454094,0.5192600511577916,61.94408869743347
18,5.507593159926565,0.7807424593967517,0.5204481736242527,62.30045294761658
19,5.474331107892488,0.7726218097447796,0.5174722974838809,62.26593494415283
20,5.445394897460938,0.7756049055352999,0.5177716329914234,67.47177267074585
21,5.38226035770617,0.7896917467683129,0.5317008601951118,70.57980513572693
22,5.336256368536699,0.7837255551872722,0.530578209935726,72.29818153381348
23,5.3301619128177045,0.7903546569439841,0.5388356557101648,70.35596799850464
24,5.264391497561806,0.7908518395757375,0.5288588545455035,70.69420719146729
25,5.246127484974108,0.7938349353662578,0.540887389539696,71.50515174865723
26,5.199151867314389,0.7891945641365595,0.537433010715118,70.684077501297
27,5.156648169065777,0.7916804772953265,0.5432320662554427,70.4254059791565
28,5.159901362971255,0.7935034802784223,0.538761126135571,71.27067375183105
29,5.114578543211285,0.7930062976466689,0.5383367360047372,70.28035736083984
30,5.097661685943604,0.7964865760689427,0.5446282220599035,70.5857036113739
31,5.0691343859622355,0.8026184951939013,0.5470569630135163,69.97550368309021
32,5.041873836517334,0.7991382167716274,0.5454556880892173,70.33425879478455
33,5.00275421644512,0.8051044083526682,0.5526870004406322,70.305246591568
34,4.996093504052413,0.7943321179980113,0.5435699639259317,70.31245017051697
35,4.959671412016216,0.7956579383493536,0.5460252951644333,69.88751125335693
36,4.950216594495271,0.7971494862446139,0.5455225259028317,70.18068742752075
37,4.907500267028809,0.7996353994033808,0.550665008850621,70.86983370780945
38,4.891360804909154,0.8062645011600929,0.5521786999977492,70.55313110351562
