epoch,train_loss,val_recall,val_ndcg,epoch_time_s
1,7.872897921110455,0.45177328471992045,0.2419445937850029,33.93248105049133
2,7.305213356018067,0.5178985747431223,0.28227040237124196,33.3316113948822
3,7.207809849789268,0.5228704010606563,0.27748424326232424,33.48584222793579
4,7.175206058903744,0.5120981107059993,0.27985537971621405,32.84113788604736
5,7.096256160736084,0.5240304938680809,0.2864678999634126,33.04533362388611
6,6.978866762863962,0.5430891614186277,0.3039185580493854,34.542760133743286
7,6.809048632571572,0.56927411335764,0.33149614021824586,33.63652014732361
8,6.7103481192337835,0.6042426251242956,0.3574421480671479,31.304835557937622
9,6.561716762341951,0.6264501160092807,0.3749558463264052,32.02145838737488
10,6.406712717758982,0.6339078554855817,0.38841720230379534,32.83857798576355
11,6.32553458464773,0.6461716937354989,0.39448165896565546,32.157856702804565
12,6.26171864961323,0.6566125290023201,0.4049121982983057,34.10154867172241
13,6.174946222807232,0.6735167384819357,0.41930978484076153,33.19594097137451
14,6.1087746168437755,0.680643022870401,0.4234220485108081,34.282389879226685
15,6.008728122711181,0.6839575737487571,0.4307891746883941,33.86940956115723
16,5.96263306768317,0.6960556844547564,0.43904779273557865,34.606131076812744
17,5.857073763797158,0.7001988730527013,0.44524358525697766,39.09663200378418
18,5.84656390641865,0.6912495856811403,0.44670397858177424,34.690096855163574
19,5.783510102723774,0.7101425256877693,0.45788279975026097,33.10127377510071
20,5.75967708386873,0.7117998011269473,0.45473802650347556,34.160733222961426
21,5.690693940614399,0.7166058999005634,0.4624996247778301,33.93700170516968
22,5.655847996159603,0.7117998011269473,0.4611838724596761,33.83824062347412
23,5.605952277936433,0.7215777262180975,0.4674610401517117,33.60790753364563
24,5.60388957073814,0.7219091813059331,0.474891202695457,34.333807706832886
25,5.5473152210837915,0.7222406363937687,0.47013832313425336,34.138954877853394
26,5.468253065410413,0.7172688100762347,0.4721813729328406,33.2157769203186
27,5.4663546311227895,0.7292011932383162,0.47709803425081576,33.485034465789795
28,5.39569445158306,0.7248922770964534,0.47531908447220905,31.4608736038208
29,5.361903983668277,0.7250580046403712,0.47873199117937615,32.87777400016785
30,5.295095990833484,0.7363274776267815,0.4825564021177591,32.337652921676636
31,5.269662410334537,0.7379847530659596,0.4832268054129493,31.771193742752075
32,5.252944594935367,0.7350016572754392,0.482647860281205,31.758123874664307
33,5.283870360725804,0.7396420285051376,0.4881619510723307,34.05656862258911
34,5.219756382390073,0.7320185614849188,0.48351471923199724,32.63019943237305
35,5.192990754780016,0.7340072920119324,0.4860704301125001,33.36622357368469
36,5.193749222002531,0.731024196221412,0.4796209221341303,32.53836536407471
37,5.134852213608591,0.733510109380179,0.48615956938468946,32.848337173461914
38,5.074764648236727,0.7300298309579052,0.47725308969488967,33.202056884765625
